,Feasible Hard,Reachable Hard,Average Hard,Hull Shift Hard,Feasible Uniform,Reachable Uniform,Average Uniform,Hull Shift Uniform,Feasible Kumaraswamy,Reachable Kumaraswamy,Average Kumaraswamy,Hull Shift Kumaraswamy,FSPs
0,1.0,1.0,1.0,3.874508849710379e-06,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[36  6  0 32 13  8],Loads:[],DP:0.044, Tot: 0.87380118517, min: 0.068796875"
1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[ 4  8 16 10],Loads:[ 2 26],DP:0.087, Tot: 1.7349838363579237, min: 0.09307758618"
2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"1: DGs:[51 44],Loads:[60 18  2 29],DP:0.093, Tot: 1.8544547912425053, min: 0.1179375"
3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[56 24  3 31 30],Loads:[3],DP:0.049, Tot: 0.976601077898501, min: 0.108109375"
4,1.0,1.0,1.0,0.0004103782381191,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[],Loads:[13 23 51  5 14 31],DP:0.154, Tot: 3.0798301712230507, min: 0.25"
5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[39 44 31 15 51  3],Loads:[],DP:0.043, Tot: 0.8611135086700001, min: 0.09307758618"
6,0.9402985074626866,0.9704918032786886,0.9553951553706876,0.006078093891761,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[45 10 29  9 46 24],Loads:[],DP:0.07, Tot: 1.4048842667299999, min: 0.09307758618"
7,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[],Loads:[28 49 12 56 40 27],DP:0.163, Tot: 3.2602889703181512, min: 0.25"
8,0.9565217391304348,0.9672897196261684,0.9619057293783017,0.0212451189769574,0.956043956043956,0.9632352941176472,0.9596396250808016,0.0018937783628673,0.9482758620689656,0.956989247311828,0.9526325546903968,0.0018719326867169,"1: DGs:[21],Loads:[17 25 42 21  8],DP:0.201, Tot: 4.022328746447113, min: 0.23269396545"
9,1.0,1.0,1.0,3.480704993911941e-07,1.0,1.0,1.0,3.7442399154628334e-05,0.9833333333333332,0.989010989010989,0.9861721611721612,3.552257126912281e-05,"1: DGs:[],Loads:[31 56 51 34 50  4],DP:0.182, Tot: 3.6332371551146925, min: 0.25"
10,1.0,0.9932432432432432,0.9966216216216216,0.000721007160667,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"1: DGs:[ 9 43 23 12 48 26],Loads:[],DP:0.052, Tot: 1.04593258512, min: 0.068796875"
11,0.9938650306748468,1.0,0.9969325153374232,0.0018596641188826,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[15],Loads:[59 35 15 46 50],DP:0.146, Tot: 2.9103809571528494, min: 0.19146838412"
12,0.9699248120300752,0.9813084112149532,0.9756166116225142,0.0033275158293309,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"1: DGs:[ 6 29 11 34],Loads:[6 0],DP:0.106, Tot: 2.1255405826679237, min: 0.1179375"
13,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"1: DGs:[49  7 18],Loads:[32 30 51],DP:0.079, Tot: 1.5737989378106039, min: 0.108109375"
14,1.0,0.9904458598726116,0.9952229299363058,8.062952587416757e-06,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[11 40 19 30 18 57],Loads:[],DP:0.054, Tot: 1.07245151476, min: 0.068796875"
15,0.9936708860759492,0.9952830188679244,0.9944769524719368,0.0012012059651164,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[33 27  1],Loads:[55 28 20],DP:0.108, Tot: 2.160381348397346, min: 0.108109375"
16,0.9940828402366864,1.0,0.9970414201183432,0.0003328380649261,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[],Loads:[ 6 60 18 38 30 22],DP:0.151, Tot: 3.0196772381913504, min: 0.25"
17,1.0,0.9836734693877552,0.9918367346938776,4.847980955761945e-05,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[59 54 43 48 36],Loads:[1],DP:0.052, Tot: 1.033731344048501, min: 0.06012903228"
18,0.9935897435897436,0.9951690821256038,0.9943794128576736,3.668488771640178e-05,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"1: DGs:[15 18],Loads:[ 6 23 11 41],DP:0.134, Tot: 2.6807788100509478, min: 0.19146838412"
19,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[],Loads:[50 47 10 51 40 44],DP:0.163, Tot: 3.2602889703181512, min: 0.25"
