,Feasible Hard,Reachable Hard,Average Hard,Hull Shift Hard,Feasible Uniform,Reachable Uniform,Average Uniform,Hull Shift Uniform,Feasible Kumaraswamy,Reachable Kumaraswamy,Average Kumaraswamy,Hull Shift Kumaraswamy,FSPs
0,0.9904030710172744,0.9904030710172744,0.9904030710172744,0.0011488137338638163,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[44 29 45],Loads:[37 17],DP:0.041, Tot: 1.4852855883730245, min: 0.04076865672"
1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[88 23  5 67],Loads:[25],DP:0.042, Tot: 0.8392774754536018, min: 0.0679477612"
2,0.9895052473763118,0.9895052473763118,0.9895052473763118,0.002416653345487891,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[92],Loads:[71 35  5 60],DP:0.041, Tot: 2.061907206585127, min: 0.04076865672"
3,0.9715639810426541,0.9715639810426541,0.9715639810426541,0.028728890351758865,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[81],Loads:[27 56  3 44],DP:0.088, Tot: 1.7554446429442054, min: 0.19146838412"
4,1.0,1.0,1.0,8.118916244122661e-06,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[30],Loads:[25 24 17 73],DP:0.076, Tot: 2.0974822998651272, min: 0.07634375"
5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[89 52 25 10 82],Loads:[],DP:0.029, Tot: 0.58503686584, min: 0.04076865672"
6,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[80 77 53 88 41],Loads:[],DP:0.016, Tot: 0.32554221084, min: 0.04076865672"
7,1.0,1.0,1.0,5.698118043306226e-05,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[45 35 23 38 47],Loads:[],DP:0.021, Tot: 0.41014712704, min: 0.0393125"
8,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[ 7 18 71 81],Loads:[69],DP:0.081, Tot: 1.6191602324936014, min: 0.19146838412"
9,0.9968944099378882,0.9824561403508771,0.9896752751443827,0.0003215029663689968,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.075353510435653e-06,"0: DGs:[31 66 84 71 39],Loads:[],DP:0.041, Tot: 0.8132184701599999, min: 0.05435820896"
10,0.9760765550239234,0.9760765550239234,0.9760765550239234,0.009977784454970868,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[2 5],Loads:[12 57 42],DP:0.062, Tot: 1.2354402945706038, min: 0.07634375"
11,1.0,1.0,1.0,2.6362589086840458e-05,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[21 15 50 84],Loads:[8],DP:0.046, Tot: 0.9128245164536017, min: 0.05435820896"
12,1.0,1.0,1.0,6.642956077899384e-05,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[70  0],Loads:[45 35 64],DP:0.084, Tot: 1.6803615936657046, min: 0.12215"
13,1.0,1.0,1.0,2.4167230516741316e-05,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[21 52  6 59 42],Loads:[],DP:0.023, Tot: 0.46417691964, min: 0.04076865672"
14,0.9814241486068112,0.9756838905775076,0.9785540195921594,0.003748936290468567,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[20 83 41 40 87],Loads:[],DP:0.038, Tot: 0.75878015668, min: 0.04076865672"
15,0.9703389830508474,0.9711934156378601,0.9707661993443537,0.006254550037268497,0.9848484848484849,0.9849624060150376,0.9849054454317612,0.0024343270907397872,0.9666666666666667,0.967032967032967,0.9668498168498169,0.003424987752584376,"0: DGs:[],Loads:[63 17 53 38 16],DP:0.162, Tot: 3.236227797105471, min: 0.4"
16,0.975609756097561,0.975609756097561,0.975609756097561,0.0020460782950079853,0.952,0.952,0.952,0.0014379725866846022,0.945054945054945,0.945054945054945,0.945054945054945,0.001513137039708809,"0: DGs:[],Loads:[79 10 25 28 80],DP:0.125, Tot: 2.5023620141187286, min: 0.25"
17,0.9910913140311804,0.9910913140311804,0.9910913140311804,0.001827739752880019,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[19 62],Loads:[ 4 39 30],DP:0.049, Tot: 1.5585969115164247, min: 0.049140625"
18,0.9909502262443439,0.9909502262443439,0.9909502262443439,0.002216068641563101,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[22 79  6 49],Loads:[0],DP:0.033, Tot: 0.6692058032385011, min: 0.0679477612"
19,0.9931506849315068,0.9931506849315068,0.9931506849315068,0.00021440526614988523,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[43 48 11],Loads:[ 3 25],DP:0.041, Tot: 1.4499294172672035, min: 0.04076865672"
