,Feasible Hard,Reachable Hard,Average Hard,Hull Shift Hard,Feasible Uniform,Reachable Uniform,Average Uniform,Hull Shift Uniform,Feasible Kumaraswamy,Reachable Kumaraswamy,Average Kumaraswamy,Hull Shift Kumaraswamy,FSPs
0,1.0,1.0,1.0,0.18272946905764725,1.0,1.0,1.0,0.061677224960749316,1.0,1.0,1.0,0.05261671689080393,"0: DGs:[14 36  0 12  3 53 44 33 30  6 49 28],Loads:[11 29],DP:0.108, Tot: 2.8178078355521023, min: 0.108109375"
1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[11 54 52],Loads:[ 5 22 19 14 46 55 12 52 50 49 37],DP:0.233, Tot: 6.0529151404208585, min: 0.25"
2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[],Loads:[ 2 43 44  7 14 47 36 12  0 46 32 13  3 55],DP:0.246, Tot: 6.388241487966563, min: 0.25"
3,0.9951219512195122,0.9951219512195122,0.9951219512195122,0.0029137708474815194,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[9 8],Loads:[58  7 44  2  9 15 52 53 55 48 49 29],DP:0.219, Tot: 5.700412950976219, min: 0.23269396545"
4,1.0,1.0,1.0,0.004969398482275054,1.0,1.0,1.0,8.74070837370166e-05,1.0,1.0,1.0,0.0,"0: DGs:[21  4 28],Loads:[ 2 16 30 27  4 41 14 48 31 13 55],DP:0.213, Tot: 5.544500227010657, min: 0.23269396545"
5,0.8991228070175439,0.8991228070175439,0.8991228070175439,0.042998392910608196,0.9468085106382979,0.9468085106382979,0.9468085106382979,0.004193774405943259,0.8923076923076924,0.8923076923076924,0.8923076923076924,0.0047229425348068186,"0: DGs:[4],Loads:[44 18 19 27 59  6 14 52  3 12 13 46 29],DP:0.199, Tot: 5.165234474049417, min: 0.23269396545"
6,1.0,1.0,1.0,2.6763846658434365e-05,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[54 25 44 11  4],Loads:[ 1 27 30 32 53 40 37 31 26],DP:0.218, Tot: 5.659713825318755, min: 0.23269396545"
7,0.9964912280701754,0.9964912280701754,0.9964912280701754,0.3388053594262956,1.0,1.0,1.0,0.11609165208660659,1.0,1.0,1.0,0.10612984978439303,"0: DGs:[16 29  3 54 36 12 56 49 31 34 30 28 33],Loads:[4],DP:0.102, Tot: 2.6406434822785014, min: 0.108109375"
8,1.0,1.0,1.0,0.3814708096201532,1.0,1.0,1.0,0.1260627607968243,1.0,1.0,1.0,0.13566696236694095,"0: DGs:[17 16 18  7 45  3 14 57 55 56 23  6 31],Loads:[55],DP:0.091, Tot: 2.368157517178501, min: 0.1002150538"
9,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[],Loads:[21 22 43 24 36 17  8 42 45 48 31 60 32 10],DP:0.36, Tot: 9.347765793126213, min: 0.4"
10,1.0,1.0,1.0,3.402029204622336e-06,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[26  4],Loads:[ 9 39 30  7  1 43 57 32 29 46 13 49],DP:0.228, Tot: 5.91524366357204, min: 0.23269396545"
11,0.982532751091703,0.982532751091703,0.982532751091703,0.00276224016769974,1.0,1.0,1.0,5.835581631487788e-05,0.9682539682539683,0.9682539682539683,0.9682539682539683,0.0004853379408487025,"0: DGs:[],Loads:[17 59 33 57 35 47 58 38 37 48 25 10 54 52],DP:0.347, Tot: 9.034970541361373, min: 0.4"
12,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[52],Loads:[15 57 43 27 47 19 38 42 55  3 13 29 49],DP:0.237, Tot: 6.156160172721261, min: 0.25"
13,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[52 44 54 53 45 11],Loads:[ 9 53 10  3 13 32 56 52],DP:0.228, Tot: 5.925304157885355, min: 0.23269396545"
14,1.0,1.0,1.0,0.4485986305410866,1.0,1.0,1.0,0.23455704044752002,1.0,1.0,1.0,0.22861057584904113,"0: DGs:[43 18 17 12 24 47 39  6  8 28 33 57 49 51],Loads:[],DP:0.088, Tot: 2.28008602349, min: 0.09307758618"
15,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[],Loads:[18 21  6 14 51 36 43 37 56 53 49 29  3 52],DP:0.249, Tot: 6.484486180817283, min: 0.25"
16,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[],Loads:[ 5  6  2 35 27 30  7 32 55 52  3 12 31 53],DP:0.239, Tot: 6.207782688871462, min: 0.25"
17,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[11],Loads:[17  5 27 19 14 43 53 52 37 10 40 46 32],DP:0.246, Tot: 6.3967719048480625, min: 0.25"
18,1.0,1.0,1.0,0.0023182892655865548,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[45  9 38 19],Loads:[30 22 18 23 46 48 55 50 13 29],DP:0.223, Tot: 5.794572543397976, min: 0.23269396545"
19,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[],Loads:[17 27 44  7 14  9 19 55  3 23 53 40 29 11],DP:0.239, Tot: 6.207782688871463, min: 0.25"
