,Sampling Shifts,Shape Preparation,Power Flows,Net. Component vs FSP Dictionary,Small FSPs Removal,Effective FSPs per Component,Remove Safe Components,Tensors and Convolutions,Applying Axes and Initial Point,Small FSP Uncertainty,Electrical Dinstance
0,0.0008494853973388,0.0074489116668701,2.725349903106689,3.75781512260437,3.337860107421875e-06,0.0046536922454833,0.0012314319610595,0.7283058166503906,0.0009148120880126,4.76837158203125e-07,0
1,0.0008049011230468,0.007286787033081,2.503596305847168,3.746215581893921,3.814697265625e-06,0.0041215419769287,0.0019233226776123,1.864019632339477,0.0010547637939453,7.152557373046875e-07,0
2,0.0008361339569091,0.0074474811553955,2.267277479171753,3.3415017127990723,4.0531158447265625e-06,0.0041415691375732,0.0027248859405517,5.102078199386597,0.0012814998626708,7.152557373046875e-07,0.017
3,0.000831127166748,0.0073316097259521,2.517458915710449,3.4572689533233643,4.529953002929688e-06,0.00447678565979,0.0020887851715087,7.584703207015991,0.0011918544769287,7.152557373046875e-07,0
4,0.000779390335083,0.007498025894165,2.206119537353516,2.9135384559631348,3.576278686523437e-06,0.0037746429443359,0.002976655960083,34.91657543182373,0.0012605190277099,9.5367431640625e-07,0
5,0.0008327960968017,0.0071947574615478,2.6179330348968506,3.5878331661224365,3.576278686523437e-06,0.0045900344848632,0.001591682434082,1.715102195739746,0.0009171962738037,7.152557373046875e-07,0
6,0.0008554458618164,0.0074918270111083,2.9568212032318115,4.213009357452393,3.0994415283203125e-06,0.0041115283966064,0.0019934177398681,3.9299356937408447,0.0009217262268066,7.152557373046875e-07,0
7,0.0007450580596923,0.0073871612548828,1.9769904613494875,3.1016666889190674,4.0531158447265625e-06,0.003847599029541,0.0031826496124267,63.3304660320282,0.0011980533599853,4.76837158203125e-07,0
8,0.0008120536804199,0.0073909759521484,2.239501714706421,2.9673619270324707,4.291534423828125e-06,0.0038182735443115,0.0030620098114013,6.314537048339844,0.0011918544769287,7.152557373046875e-07,0.017
9,0.0007648468017578,0.0072438716888427,2.0891921520233154,2.830057144165039,4.291534423828125e-06,0.0038051605224609,0.0028867721557617,3.472853660583496,0.0008394718170166,7.152557373046875e-07,0.017
10,0.000870943069458,0.0072436332702636,2.459733247756958,3.8215012550354,2.86102294921875e-06,0.0045106410980224,0.0020380020141601,3.787554264068604,0.0009782314300537,7.152557373046875e-07,0.018
11,0.0007684230804443,0.0072851181030273,2.146475553512573,2.920870304107666,4.291534423828125e-06,0.0040657520294189,0.0030794143676757,55.11064028739929,0.001173973083496,7.152557373046875e-07,0
12,0.0008406639099121,0.0072402954101562,2.4016551971435547,3.751550912857056,3.337860107421875e-06,0.0039722919464111,0.0025191307067871,9.765789270401,0.0011110305786132,4.76837158203125e-07,0.017
13,0.0008132457733154,0.0074396133422851,2.394413709640503,3.180572271347046,3.0994415283203125e-06,0.0042426586151123,0.0025324821472167,4.414271116256714,0.0010316371917724,7.152557373046875e-07,0.017
14,0.0008304119110107,0.0073704719543457,2.7010140419006348,4.179577827453613,3.814697265625e-06,0.0043292045593261,0.0019919872283935,16.647492170333862,0.0011346340179443,7.152557373046875e-07,0
15,0.0008246898651123,0.0072481632232666,2.5218191146850586,3.76138973236084,3.576278686523437e-06,0.0042660236358642,0.00221848487854,2.672731399536133,0.0011932849884033,7.152557373046875e-07,0
16,0.0007543563842773,0.0071997642517089,2.1777384281158447,2.9298083782196045,3.337860107421875e-06,0.0037512779235839,0.0029096603393554,51.09790802001953,0.0012061595916748,4.76837158203125e-07,0
17,0.000786542892456,0.0070846080780029,2.3346729278564453,3.7621781826019287,2.86102294921875e-06,0.004840612411499,0.0015113353729248,6.588334083557129,0.0009591579437255,9.5367431640625e-07,0
18,0.0008032321929931,0.0073983669281005,2.04738998413086,3.190379858016968,3.337860107421875e-06,0.0041799545288085,0.0029268264770507,8.524764776229858,0.001199722290039,4.76837158203125e-07,0.017
19,0.0007421970367431641,0.007266521453857422,1.9295833110809326,3.0207016468048096,3.337860107421875e-06,0.003931522369384766,0.0029993057250976562,34.05770492553711,0.0010972023010253906,9.5367431640625e-07,0
