,Sampling Shifts,Shape Preparation,Power Flows,Net. Component vs FSP Dictionary,Small FSPs Removal,Effective FSPs per Component,Remove Safe Components,Tensors and Convolutions,Applying Axes and Initial Point,Small FSP Uncertainty,Electrical Distance
0,0.0009539127349853,0.0073487758636474,2.28315806388855,3.5071070194244385,3.814697265625e-06,0.0054218769073486,0.0016634464263916,0.4964394569396972,0.0009317398071289,7.152557373046875e-07,0
1,0.0008821487426757,0.0073215961456298,2.218550443649292,2.798668146133423,4.291534423828125e-06,0.0048353672027587,0.0035231113433837,37.61269092559815,0.0012462139129638,4.76837158203125e-07,0.018
2,0.0008411407470703,0.0071756839752197,1.919621467590332,2.9920716285705566,4.529953002929688e-06,0.0044984817504882,0.0033154487609863,35.742546796798706,0.0010902881622314,7.152557373046875e-07,0.018
3,0.0008878707885742,0.0073187351226806,2.5342607498168945,3.6141512393951416,4.291534423828125e-06,0.0052475929260253,0.0026221275329589,40.49584770202637,0.0012660026550292,9.5367431640625e-07,0
4,0.0008039474487304,0.0072238445281982,2.0942745208740234,2.7771544456481934,3.337860107421875e-06,0.0044150352478027,0.0035302639007568,13.833918571472168,0.0011243820190429,9.5367431640625e-07,0.018
5,0.0008628368377685,0.0073351860046386,2.537795066833496,3.891677856445313,3.576278686523437e-06,0.0052449703216552,0.0020539760589599,4.932476043701172,0.0010366439819335,9.5367431640625e-07,0
6,0.000812292098999,0.0072827339172363,1.976828575134277,3.045722007751465,3.814697265625e-06,0.0046415328979492,0.0034763813018798,49.542070388793945,0.0011475086212158,7.152557373046875e-07,0.018
7,0.0008237361907958,0.0072607994079589,2.025875806808472,2.8218321800231934,3.576278686523437e-06,0.0045182704925537,0.0037777423858642,15.516818046569824,0.0011177062988281,4.76837158203125e-07,0.018
8,0.00083589553833,0.0072565078735351,1.845660924911499,2.819232702255249,3.0994415283203125e-06,0.004479169845581,0.003587007522583,58.55896520614624,0.0012826919555664,7.152557373046875e-07,0.018
9,0.0008518695831298,0.007310152053833,2.221501588821411,2.8651766777038574,3.0994415283203125e-06,0.0043733119964599,0.0034420490264892,21.609727144241333,0.0012016296386718,4.76837158203125e-07,0.018
10,0.0008294582366943,0.0072462558746337,1.9429502487182613,3.008387804031372,3.814697265625e-06,0.0041780471801757,0.0035517215728759,36.06419801712036,0.0011491775512695,4.76837158203125e-07,0.018
11,0.0009055137634277,0.0072391033172607,1.9737777709960933,2.976688861846924,3.814697265625e-06,0.0046355724334716,0.003535509109497,13.902997255325316,0.0010685920715332,7.152557373046875e-07,0.018
12,0.0008215904235839,0.0074462890625,2.082849740982056,2.740772008895874,3.576278686523437e-06,0.004420518875122,0.0037972927093505,31.530434370040894,0.0011582374572753,9.5367431640625e-07,0.018
13,0.0008549690246582,0.0072908401489257,1.995868444442749,3.212529182434082,3.576278686523437e-06,0.0045273303985595,0.0033581256866455,74.45353269577026,0.0011727809906005,9.5367431640625e-07,0.018
14,0.0009150505065917,0.0072479248046875,2.4730870723724365,3.4220187664031982,3.0994415283203125e-06,0.0055258274078369,0.0017595291137695,6.011395454406738,0.0010833740234375,7.152557373046875e-07,0
15,0.0008735656738281,0.0072131156921386,2.440765619277954,3.311331033706665,3.576278686523437e-06,0.0049414634704589,0.0026116371154785,49.76344347000122,0.001199722290039,1.1920928955078125e-06,0
16,0.0008933544158935,0.0075635910034179,2.128104448318481,2.709285259246826,3.814697265625e-06,0.0045654773712158,0.0035762786865234,34.72173452377319,0.0011672973632812,4.76837158203125e-07,0.018
17,0.0008139610290527,0.0072500705718994,1.8505144119262693,2.738774538040161,3.814697265625e-06,0.0043699741363525,0.0034132003784179,14.608257055282593,0.0012001991271972,4.76837158203125e-07,0.018
18,0.0008857250213623,0.0071997642517089,2.066245079040528,3.1356101036071777,3.814697265625e-06,0.0045986175537109,0.0033738613128662,49.29735541343689,0.0011956691741943,9.5367431640625e-07,0.018
19,0.0008242130279541016,0.007280111312866211,2.0320186614990234,2.915140151977539,3.5762786865234375e-06,0.0044956207275390625,0.003588438034057617,34.003896951675415,0.0011935234069824219,4.76837158203125e-07,0.018
