,Sampling Shifts,Shape Preparation,Power Flows,Net. Component vs FSP Dictionary,Small FSPs Removal,Effective FSPs per Component,Remove Safe Components,Tensors and Convolutions,Applying Axes and Initial Point,Small FSP Uncertainty
0,0.0007174015045166016,0.007232189178466797,2.7293035984039307,4.035943269729614,3.5762786865234375e-06,0.003769397735595703,0.0018353462219238281,2.247450113296509,0.001008749008178711,7.152557373046875e-07
1,0.0007965564727783203,0.007551431655883789,2.922243595123291,3.0828397274017334,3.5762786865234375e-06,0.003749847412109375,0.001199483871459961,2.8207647800445557,0.0009675025939941406,7.152557373046875e-07
2,0.0006983280181884766,0.007241725921630859,2.2934138774871826,1.5655817985534668,3.5762786865234375e-06,0.0035533905029296875,0.002218484878540039,15.575816869735718,0.0011174678802490234,4.76837158203125e-07
3,0.0008471012115478516,0.00720524787902832,3.460249423980713,3.811756134033203,5.245208740234375e-06,0.0024580955505371094,0.001956462860107422,5.716161251068115,0.000990152359008789,0.10265994071960449
4,0.0007350444793701172,0.007273435592651367,2.795973777770996,2.7051079273223877,3.814697265625e-06,0.003809213638305664,0.001851797103881836,2.515958786010742,0.0009975433349609375,4.76837158203125e-07
5,0.0006794929504394531,0.007145881652832031,2.3911232948303223,1.9530200958251953,3.337860107421875e-06,0.003251314163208008,0.002631664276123047,17.068228483200073,0.0011074542999267578,4.76837158203125e-07
6,0.0007441043853759766,0.007288694381713867,2.5279111862182617,2.2898664474487305,4.0531158447265625e-06,0.0035445690155029297,0.0015912055969238281,0.9856016635894775,0.0009534358978271484,7.152557373046875e-07
7,0.0007207393646240234,0.0072362422943115234,2.7388880252838135,2.7674179077148438,3.5762786865234375e-06,0.0037186145782470703,0.0019538402557373047,2.1435437202453613,0.0009489059448242188,7.152557373046875e-07
8,0.0006821155548095703,0.007209062576293945,2.146005392074585,1.9320752620697021,3.5762786865234375e-06,0.0033915042877197266,0.003651857376098633,23.03041124343872,0.0011799335479736328,7.152557373046875e-07
9,0.0007305145263671875,0.007256746292114258,3.7697808742523193,3.954867362976074,4.76837158203125e-06,0.0036134719848632812,0.0022470951080322266,8.236573696136475,0.001041412353515625,7.152557373046875e-07
10,0.0006420612335205078,0.007512807846069336,1.9828708171844482,1.7732040882110596,3.814697265625e-06,0.0033414363861083984,0.0025434494018554688,9.609256267547607,0.0011696815490722656,7.152557373046875e-07
11,0.0007119178771972656,0.007309913635253906,2.3663887977600098,1.838890790939331,3.5762786865234375e-06,0.0032570362091064453,0.0025620460510253906,10.721214056015015,0.0013775825500488281,7.152557373046875e-07
12,0.00069427490234375,0.0072650909423828125,2.1002867221832275,1.680133581161499,4.0531158447265625e-06,0.003271818161010742,0.0025625228881835938,17.001734733581543,0.0011811256408691406,4.76837158203125e-07
13,0.0007359981536865234,0.00727391242980957,2.5046141147613525,2.0767242908477783,4.0531158447265625e-06,0.0034852027893066406,0.0022270679473876953,16.96038293838501,0.0011811256408691406,7.152557373046875e-07
14,0.0006747245788574219,0.007224559783935547,2.1315648555755615,1.7805895805358887,3.814697265625e-06,0.003191232681274414,0.002110004425048828,13.41475510597229,0.001188039779663086,7.152557373046875e-07
15,0.0007476806640625,0.007188558578491211,2.853985548019409,3.3479812145233154,3.5762786865234375e-06,0.0038614273071289062,0.0009233951568603516,0.3644881248474121,0.0009260177612304688,9.5367431640625e-07
16,0.0007355213165283203,0.0072591304779052734,2.5750608444213867,1.8023524284362793,4.5299530029296875e-06,0.0036728382110595703,0.0021104812622070312,2.4884896278381348,0.0009293556213378906,9.5367431640625e-07
17,0.0008444786071777344,0.0072138309478759766,3.5575432777404785,3.6946420669555664,5.7220458984375e-06,0.002678394317626953,0.002006053924560547,12.1161789894104,0.0010955333709716797,0.1427304744720459
18,0.0007641315460205078,0.007256031036376953,2.55184268951416,2.6870524883270264,3.814697265625e-06,0.004178285598754883,0.0008258819580078125,0.22135567665100098,0.0009646415710449219,4.76837158203125e-07
19,0.0007014274597167969,0.0071909427642822266,2.3531084060668945,1.8793137073516846,3.814697265625e-06,0.0031995773315429688,0.0022363662719726562,10.121876001358032,0.00107574462890625,7.152557373046875e-07
