,Sampling Shifts,Shape Preparation,Power Flows,Net. Component vs FSP Dictionary,Small FSPs Removal,Effective FSPs per Component,Remove Safe Components,Tensors and Convolutions,Applying Axes and Initial Point,Small FSP Uncertainty
0,0.001512765884399414,0.0077626705169677734,5.560866832733154,1.807116985321045,4.0531158447265625e-06,0.012260913848876953,0.0012586116790771484,0.00041413307189941406,0.0008041858673095703,4.76837158203125e-07
1,0.0014462471008300781,0.007337808609008789,5.019985198974609,1.1333696842193604,3.5762786865234375e-06,0.012489795684814453,0.0028257369995117188,0.00035881996154785156,0.0007677078247070312,9.5367431640625e-07
2,0.00152587890625,0.00771641731262207,5.137370824813843,1.0498156547546387,3.5762786865234375e-06,0.012661457061767578,0.0032002925872802734,0.00037026405334472656,0.000904083251953125,4.76837158203125e-07
3,0.0015494823455810547,0.007570743560791016,4.7933735847473145,1.1337018013000488,3.337860107421875e-06,0.01599884033203125,0.002624034881591797,0.0004229545593261719,0.0008656978607177734,4.76837158203125e-07
4,0.0014753341674804688,0.007508277893066406,5.1321635246276855,1.2996752262115479,3.5762786865234375e-06,0.012282848358154297,0.0024225711822509766,0.0003666877746582031,0.0008840560913085938,4.76837158203125e-07
5,0.0014920234680175781,0.007323503494262695,5.7223899364471436,1.2580060958862305,3.814697265625e-06,0.012844324111938477,0.002293109893798828,0.0003871917724609375,0.0009195804595947266,4.76837158203125e-07
6,0.0014781951904296875,0.007431745529174805,4.980942249298096,1.2874970436096191,3.5762786865234375e-06,0.012070894241333008,0.002270936965942383,0.00037360191345214844,0.0009589195251464844,7.152557373046875e-07
7,0.0015821456909179688,0.007376194000244141,6.421032190322876,2.060115098953247,4.291534423828125e-06,0.011860132217407227,0.001402139663696289,0.00041103363037109375,0.0008556842803955078,4.76837158203125e-07
8,0.0015740394592285156,0.007294654846191406,5.599984884262085,1.4706790447235107,3.5762786865234375e-06,0.012130022048950195,0.0012760162353515625,0.0003991127014160156,0.0009400844573974609,9.5367431640625e-07
9,0.001420736312866211,0.007359743118286133,4.6905786991119385,0.9151630401611328,5.0067901611328125e-06,0.011523008346557617,0.004613399505615234,0.0003924369812011719,0.0008771419525146484,4.76837158203125e-07
10,0.001432657241821289,0.007414340972900391,5.081296682357788,1.1197617053985596,3.814697265625e-06,0.012519121170043945,0.0027501583099365234,0.0004086494445800781,0.0008323192596435547,7.152557373046875e-07
11,0.0014150142669677734,0.00732111930847168,4.908722877502441,1.058751106262207,3.814697265625e-06,0.011975288391113281,0.004387378692626953,0.00040078163146972656,0.0008707046508789062,7.152557373046875e-07
12,0.0014545917510986328,0.007296562194824219,5.355827808380127,1.2217354774475098,3.814697265625e-06,0.012651681900024414,0.003191232681274414,0.00040268898010253906,0.0008995532989501953,7.152557373046875e-07
13,0.0015366077423095703,0.0073010921478271484,5.0211639404296875,1.2243027687072754,4.0531158447265625e-06,0.012614011764526367,0.003207683563232422,0.00038051605224609375,0.0009276866912841797,4.76837158203125e-07
14,0.0015518665313720703,0.007319211959838867,5.981999397277832,1.6231803894042969,3.5762786865234375e-06,0.011662483215332031,0.0009546279907226562,0.000400543212890625,0.0007903575897216797,7.152557373046875e-07
15,0.0014042854309082031,0.0073816776275634766,5.466923475265503,1.1520249843597412,4.291534423828125e-06,0.012300491333007812,0.0033791065216064453,0.0004177093505859375,0.0008196830749511719,7.152557373046875e-07
16,0.0014126300811767578,0.007325172424316406,5.295018672943115,1.0571837425231934,3.814697265625e-06,0.012679576873779297,0.0030927658081054688,0.00037097930908203125,0.0009219646453857422,7.152557373046875e-07
17,0.0014109611511230469,0.0073854923248291016,5.2157018184661865,1.0941178798675537,3.814697265625e-06,0.013463020324707031,0.0028228759765625,0.0004172325134277344,0.0009303092956542969,4.76837158203125e-07
18,0.0015048980712890625,0.0074787139892578125,5.334543228149414,1.3353533744812012,3.5762786865234375e-06,0.01268911361694336,0.002996206283569336,0.00039196014404296875,0.0008637905120849609,4.76837158203125e-07
19,0.0014476776123046875,0.007363080978393555,5.269523859024048,1.093672752380371,3.814697265625e-06,0.012613534927368164,0.0028738975524902344,0.0004203319549560547,0.0007996559143066406,1.1920928955078125e-06
