,Feasible Hard,Reachable Hard,Average Hard,Hull Shift Hard,Feasible Uniform,Reachable Uniform,Average Uniform,Hull Shift Uniform,Feasible Kumaraswamy,Reachable Kumaraswamy,Average Kumaraswamy,Hull Shift Kumaraswamy,FSPs
0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[25  9],Loads:[41 30  7 43 32 40 45 10 11 54],DP:0.23, Tot: 5.989147029528379, min: 0.23269396545"
1,0.9653846153846154,0.9653846153846154,0.9653846153846154,0.013281165199186661,0.9504950495049505,0.9504950495049505,0.9504950495049505,0.0033802334943790597,0.922077922077922,0.922077922077922,0.922077922077922,0.0026761365198551498,"0: DGs:[],Loads:[51 35 30  2 57 59 45 56 46 31 55 48],DP:0.229, Tot: 5.943109783531981, min: 0.25"
2,0.984,0.984,0.984,0.005932355315619904,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[],Loads:[47 44 36 57 41 39 32 42 49 12  0 26],DP:0.291, Tot: 7.555208388781546, min: 0.4"
3,0.991304347826087,0.991304347826087,0.991304347826087,0.02197535839598658,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[45 21],Loads:[ 4  8 19  7 43 31 54 52 13 55],DP:0.214, Tot: 5.566356651988178, min: 0.23269396545"
4,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[25],Loads:[18  9 22 33 21 12 48 53  3 37 52],DP:0.231, Tot: 5.9953449498868805, min: 0.23269396545"
5,0.9834710743801653,0.9834710743801653,0.9834710743801653,0.02968033898863005,0.9809523809523809,0.9809523809523809,0.9809523809523809,0.008891782924513548,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.0009367651505663376,"0: DGs:[9],Loads:[18  5 30 41 21 48 13 55  3 11 12],DP:0.208, Tot: 5.419596639100858, min: 0.25"
6,0.984251968503937,0.984251968503937,0.984251968503937,0.004848575352273622,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[],Loads:[43 33 17  7 39 41 11 50 32 25 40 49],DP:0.286, Tot: 7.434902522718146, min: 0.4"
7,1.0,1.0,1.0,0.2762266988597975,1.0,1.0,1.0,0.0678522611075168,1.0,1.0,1.0,0.06116239967858807,"0: DGs:[39 17 36 44 46 51 42  6 48 50 23],Loads:[30],DP:0.068, Tot: 1.7728707416085012, min: 0.068796875"
8,0.9683794466403162,0.9683794466403162,0.9683794466403162,0.008316830864345514,0.9245283018867925,0.9245283018867925,0.9245283018867925,0.0015168321942157312,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.002249881401562036,"0: DGs:[],Loads:[58 30  8 22  1 27  3 52 46 23 53 48],DP:0.224, Tot: 5.8228039174685815, min: 0.25"
9,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[52 54 29],Loads:[59 39 21 53 11 31 52 12 10],DP:0.257, Tot: 6.676721176209099, min: 0.30929508204"
10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[ 9 53],Loads:[ 2 18  7 35 53  0 50 32 37 52],DP:0.226, Tot: 5.88528934702328, min: 0.25"
11,1.0,1.0,1.0,0.4727533010014225,1.0,1.0,1.0,0.2914795170370944,1.0,1.0,1.0,0.23746067879842767,"0: DGs:[22 18 13 54  3 37 32 30 42 31  2 23],Loads:[],DP:0.066, Tot: 1.72625953423, min: 0.068796875"
12,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[38 25 29 37 17  9],Loads:[55 10 60 42 32 50],DP:0.209, Tot: 5.444513714277372, min: 0.23269396545"
13,1.0,1.0,1.0,0.1843537192927415,1.0,1.0,1.0,0.04112986854942533,1.0,1.0,1.0,0.032815540203183856,"0: DGs:[44 17 29 19 16 23 51  2 20 21],Loads:[9 3],DP:0.117, Tot: 3.0376616787321025, min: 0.11782669792"
14,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[],Loads:[34 51 17  2  5 20 52 46 12 28 32 60],DP:0.248, Tot: 6.460425007604602, min: 0.25"
15,1.0,1.0,1.0,0.40774858724328283,1.0,1.0,1.0,0.1998275130968525,1.0,1.0,1.0,0.15912489640899127,"0: DGs:[10 13 25 46 44 15 32 58 20 41 59 40],Loads:[],DP:0.055, Tot: 1.4178670734200005, min: 0.06012903228"
16,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[17 26],Loads:[ 8  7 19 39 14 55 26 52 31 11],DP:0.227, Tot: 5.904932923283999, min: 0.23269396545"
17,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[28],Loads:[57 44 16 33  8 41 11 26 12 50 40],DP:0.274, Tot: 7.112281432582123, min: 0.315"
