,Feasible Hard,Reachable Hard,Average Hard,Hull Shift Hard,Feasible Uniform,Reachable Uniform,Average Uniform,Hull Shift Uniform,Feasible Kumaraswamy,Reachable Kumaraswamy,Average Kumaraswamy,Hull Shift Kumaraswamy,FSPs
0,0.9922178988326849,0.9922178988326849,0.9922178988326849,8.00285888318312e-05,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[44 29],Loads:[37],DP:0.033, Tot: 0.6594108709736017, min: 0.04076865672"
1,1.0,1.0,1.0,0.0032901340112297408,1.0,1.0,1.0,4.4954422851540035e-06,1.0,1.0,1.0,0.0,"0: DGs:[],Loads:[41 75 38],DP:0.086, Tot: 1.720373884706626, min: 0.4"
2,1.0,1.0,1.0,0.0024679897372654686,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[24  4 28],Loads:[],DP:0.018, Tot: 0.35942463412, min: 0.07634375"
3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[24 15],Loads:[28],DP:0.057, Tot: 1.1408637244394226, min: 0.19146838412"
4,1.0,1.0,1.0,0.0009018922106517096,1.0,1.0,1.0,0.0001035793125595236,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.0002908094802138375,"0: DGs:[],Loads:[24 82 79],DP:0.054, Tot: 1.0827527945706037, min: 0.25"
5,0.9883268482490273,0.9883268482490273,0.9883268482490273,0.0022646182913307776,1.0,1.0,1.0,0.00023360386361728102,1.0,1.0,1.0,0.0,"0: DGs:[78],Loads:[43 55],DP:0.042, Tot: 0.8363463383721027, min: 0.05435820896"
6,0.9960474308300395,0.9960474308300395,0.9960474308300395,0.000716089566246599,1.0,1.0,1.0,0.00011149888773714304,0.9921259842519685,0.9921259842519685,0.9921259842519685,0.0,"0: DGs:[],Loads:[79 26  8],DP:0.072, Tot: 1.4436703927608052, min: 0.4"
7,0.9957446808510638,0.9957446808510638,0.9957446808510638,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[45 10],Loads:[32],DP:0.049, Tot: 0.9858747173994226, min: 0.0679477612"
8,0.9900332225913622,0.9900332225913622,0.9900332225913622,0.0008471772036661661,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[69 71 23],Loads:[],DP:0.024, Tot: 0.47211240672, min: 0.04076865672"
9,1.0,1.0,1.0,0.0005450982620135975,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[65],Loads:[16 26],DP:0.052, Tot: 1.0387906785072034, min: 0.07634375"
10,0.968,0.9715302491103203,0.9697651245551602,0.0008448589599118273,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[2 9],Loads:[82],DP:0.062, Tot: 1.233108415158501, min: 0.07634375"
11,1.0,1.0,1.0,0.0004021261088276151,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[2],Loads:[ 2 46],DP:0.052, Tot: 1.0387906785072034, min: 0.07634375"
12,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[61 54],Loads:[15],DP:0.038, Tot: 0.7595050503336017, min: 0.1179375"
13,1.0,1.0,1.0,0.0036416408956361323,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[49 24 25],Loads:[],DP:0.019, Tot: 0.37724284324, min: 0.0679477612"
14,0.9903846153846154,0.9903846153846154,0.9903846153846154,0.013768310359286468,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[ 6 64 65],Loads:[],DP:0.017, Tot: 0.3359125, min: 0.07634375"
15,0.9961389961389961,0.9961389961389961,0.9961389961389961,0.003317238986504068,0.9946236559139785,0.9946236559139785,0.9946236559139785,0.00019729559500573666,0.993006993006993,0.993006993006993,0.993006993006993,1.4848279622702376e-05,"0: DGs:[],Loads:[32 54 78],DP:0.068, Tot: 1.3594562865164246, min: 0.25"
16,1.0,1.0,1.0,4.2080804398413774e-05,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[48],Loads:[5 4],DP:0.077, Tot: 1.5484455024930244, min: 0.30929508204"
17,0.9880952380952381,0.9880952380952381,0.9880952380952381,0.0014636460154202446,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[60 38 51],Loads:[],DP:0.012, Tot: 0.2459034914, min: 0.06012903228"
18,1.0,1.0,1.0,0.0005462128276592229,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[40 28 37],Loads:[],DP:0.011, Tot: 0.22582882464, min: 0.04076865672"
19,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.0013098452190165484,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"0: DGs:[ 6 61 78],Loads:[],DP:0.018, Tot: 0.35212104503999997, min: 0.05435820896"
